km,price
5298,8917
11200,8686
18603,8531
25085,8392
31277,8232
37940,8069
44801,7911
51403,7756
58307,7589
65342,7429
72219,7272
79372,7097
86657,6936
94079,6772
101392,6610
108823,6449
116420,6291
124063,6130
131805,5974
139678,5816
147692,5658
155776,5503
163945,5347
172235,5190
180653,5035
189102,4882
197671,4727
206367,4572
215109,4422
223984,4270
232995,4119
242111,3970
251347,3819
260674,3671
270105,3522
279645,3374
289251,3229
298979,3083
308792,2939
318731,2793
328788,2649
338926,2506
349192,2362
359583,2219
370078,2078
380671,1936
391376,1795
402189,1655
413100,1515
424099,1377
435190,1238
446387,1100
457689,962
469064,825
480545,689
492131,553
503789,418
515544,284
527397,150
539383,16
127698,7805
248316,6002
144500,7158
173231,6662
295120,5013
57462,8329
218439,5816
318491,4405
41328,8639
92345,7573
166789,6791
256109,5366
198451,6051
76213,8030
388970,3487
112002,7315
287654,4893
165432,6821
210987,5612
98765,7456
345678,4021
129876,7159
267890,5111
187654,6443
54321,8412
321654,4331
145678,7073
230001,5542
100234,7401
289012,4787
176543,6681
212345,5701
92765,7521
345123,4067
119874,7229
250987,5278
156789,6945
298765,4947
189012,6312
63456,8200
312345,4389
