mileage,price,linear_pred,prob_expensive,actual_label
5298,8917,8784.18,0.997117,1
11200,8686,8684.38,0.996635,1
18603,8531,8559.21,0.995916,1
25085,8392,8449.61,0.995162,1
31277,8232,8344.92,0.994313,1
37940,8069,8232.26,0.993233,1
44801,7911,8116.25,0.991907,1
51403,7756,8004.63,0.99039,1
58307,7589,7887.89,0.988502,1
65342,7429,7768.94,0.986201,1
72219,7272,7652.66,0.983515,1
79372,7097,7531.72,0.980176,1
86657,6936,7408.54,0.976096,1
94079,6772,7283.05,0.9711,1
101392,6610,7159.4,0.965195,1
108823,6449,7033.76,0.95801,1
116420,6291,6905.31,0.949209,1
124063,6130,6776.08,0.938613,1
131805,5974,6645.17,0.9258,1
139678,5816,6512.06,0.910287,1
147692,5658,6376.55,0.891552,1
155776,5503,6239.87,0.869257,1
163945,5347,6101.75,0.842889,1
172235,5190,5961.58,0.811867,1
180653,5035,5819.24,0.77576,0
189102,4882,5676.39,0.734827,0
197671,4727,5531.5,0.688738,0
206367,4572,5384.47,0.637808,0
215109,4422,5236.66,0.58329,0
223984,4270,5086.6,0.525786,0
232995,4119,4934.24,0.4667,0
242111,3970,4780.1,0.407867,0
251347,3819,4623.94,0.350844,0
260674,3671,4466.24,0.297284,0
270105,3522,4306.78,0.248258,0
279645,3374,4145.47,0.204492,0
289251,3229,3983.05,0.16649,0
298979,3083,3818.57,0.133985,0
308792,2939,3652.65,0.106799,0
318731,2793,3484.6,0.084334,0
328788,2649,3314.55,0.0660526,0
338926,2506,3143.14,0.0514074,0
349192,2362,2969.56,0.0397422,0
359583,2219,2793.87,0.0305413,0
370078,2078,2616.42,0.0233561,0
380671,1936,2437.31,0.0177853,0
391376,1795,2256.31,0.0134856,0
402189,1655,2073.48,0.0101859,0
413100,1515,1888.99,0.0076677,0
424099,1377,1703.02,0.0057552,0
435190,1238,1515.49,0.00430727,0
446387,1100,1326.17,0.00321351,0
457689,962,1135.07,0.00239024,0
469064,825,942.744,0.00177411,0
480545,689,748.621,0.00131293,0
492131,553,552.723,0.000968849,0
503789,418,355.608,0.000713527,0
515544,284,156.852,0.000524118,0
527397,150,-43.5602,0.000383981,0
539383,16,-246.221,0.000280322,0
127698,7805,6714.62,0.932877,1
248316,6002,4675.19,0.36918,1
144500,7158,6430.53,0.899395,1
173231,6662,5944.74,0.807839,1
295120,5013,3883.82,0.146186,0
57462,8329,7902.18,0.988751,1
218439,5816,5180.35,0.561893,1
318491,4405,3488.66,0.0848219,0
41328,8639,8174.98,0.992607,1
92345,7573,7312.37,0.972351,1
166789,6791,6053.66,0.832744,1
256109,5366,4543.42,0.32292,1
198451,6051,5518.31,0.68433,1
76213,8030,7585.13,0.981725,1
388970,3487,2296.99,0.0143525,0
112002,7315,6980.01,0.95452,1
287654,4893,4010.05,0.172392,0
165432,6821,6076.6,0.837649,1
210987,5612,5306.35,0.609341,1
98765,7456,7203.82,0.967439,1
345678,4021,3028.97,0.0434174,0
129876,7159,6677.79,0.929206,1
267890,5111,4344.23,0.259272,1
187654,6443,5700.87,0.74217,1
54321,8412,7955.29,0.989633,1
321654,4331,3435.18,0.0785925,0
145678,7073,6410.61,0.896561,1
230001,5542,4984.86,0.48631,1
100234,7401,7178.98,0.966202,1
289012,4787,3987.09,0.167363,0
176543,6681,5888.74,0.793975,1
212345,5701,5283.39,0.600819,1
92765,7521,7305.27,0.972053,1
345123,4067,3038.36,0.0440267,0
119874,7229,6846.91,0.944654,1
250987,5278,4630.03,0.353,1
156789,6945,6222.74,0.866204,1
298765,4947,3822.19,0.134639,0
189012,6312,5677.91,0.735287,1
63456,8200,7800.83,0.986859,1
312345,4389,3592.57,0.0982194,0
